Date,Open,High,Low,Close,Adj Close,Volume
7/27/15,19.040001,19.09,18.66,18.809999,18.809999,60300
8/3/15,18.629999,19.219999,18.629999,19.219999,19.219999,47500
8/10/15,19.370001,19.790001,18.049999,18.389999,18.389999,85300
8/17/15,18.469999,18.48,17.959999,17.99,17.99,42800
8/24/15,17.799999,17.85,17.139999,17.799999,17.799999,37400
8/31/15,17.74,17.9,17.41,17.42,17.42,53800
9/7/15,17.639999,17.77,17.23,17.6,17.6,44100
9/14/15,17.84,18,17.540001,17.540001,17.540001,39500
9/21/15,17.639999,17.99,17.459999,17.98,17.98,22900
9/28/15,17.9,18.049999,17.620001,17.75,17.75,34300
10/5/15,17.799999,18.120001,17.67,17.940001,17.940001,45300
10/12/15,18.040001,18.5,17.93,18.16,18.16,43400
10/19/15,18.09,18.360001,17.92,17.959999,17.959999,24600
10/26/15,17.84,17.91,17.639999,17.83,17.83,39500
11/2/15,17.82,17.879999,17.32,17.48,17.48,33400
11/9/15,17.450001,17.5,17.09,17.26,17.26,82100
11/16/15,17.25,17.440001,17.25,17.299999,17.299999,20200
11/23/15,17.1,17.67,17.1,17.6,17.6,20200
11/30/15,17.67,18.26,17.67,18.26,18.26,72500
12/7/15,18.25,18.25,17.549999,17.57,17.57,27100
12/14/15,17.540001,17.92,17.129999,17.92,17.92,22400
12/21/15,17.92,17.92,17.51,17.52,17.52,9000
12/28/15,17.370001,17.49,17.299999,17.33,17.33,22400
1/4/16,17.25,17.42,16.950001,17.33,17.33,143400
1/11/16,17.32,17.639999,17.18,17.450001,17.450001,56000
1/18/16,17.549999,17.620001,17.360001,17.459999,17.459999,20700
1/25/16,17.469999,17.66,17.299999,17.43,17.43,36800
2/1/16,17.540001,17.709999,17.33,17.35,17.35,28600
2/8/16,17.32,17.5,17.17,17.450001,17.450001,54500
2/15/16,19.18,19.18,17.440001,17.540001,17.540001,132200
2/22/16,17.559999,17.620001,17.120001,17.139999,17.139999,27000
2/29/16,17.17,17.48,17.02,17.48,17.48,65400
3/7/16,17.559999,17.76,17.389999,17.74,17.74,161200
3/14/16,17.709999,17.92,17.57,17.809999,17.809999,113400
3/21/16,17.799999,18.07,17.780001,18.040001,18.040001,65200
3/28/16,18.01,18.24,17.709999,18.219999,18.219999,91900
4/4/16,18.26,18.26,17.91,18.15,18.15,54200
4/11/16,18.24,18.889999,18.23,18.83,18.83,75600
4/18/16,18.82,19.6,18.790001,19.1,19.1,193400
4/25/16,19.049999,19.700001,19.049999,19.52,19.52,123700
5/2/16,19.530001,19.83,19.309999,19.74,19.74,123900
5/9/16,19.690001,20.58,19.43,20.01,20.01,113100
5/16/16,20.049999,20.299999,19.68,19.889999,19.889999,66300
5/23/16,19.629999,20.129999,19.450001,20.129999,20.129999,91500
5/30/16,20.129999,20.540001,20.02,20.530001,20.530001,67400
6/6/16,20.74,21.950001,20.709999,21.610001,21.610001,203600
6/13/16,21.790001,21.9,20.77,21.35,21.35,118900
6/20/16,21.16,21.16,20.139999,20.370001,20.370001,91200
6/27/16,20.459999,21.51,20.459999,21.139999,21.139999,147100
7/4/16,21.120001,21.120001,19.360001,19.91,19.91,126800
7/11/16,20.120001,20.959999,19.82,19.860001,19.860001,97000
7/18/16,19.66,20.139999,18.6,18.93,18.93,220400
7/25/16,18.9,19.110001,18.459999,19.08,19.08,164200
8/1/16,18.83,18.83,18.120001,18.690001,18.690001,159000
8/8/16,18.879999,19.01,18.5,18.799999,18.799999,115000
8/15/16,19.129999,19.32,18.940001,19.110001,19.110001,182300
8/22/16,19.030001,19.4,18.469999,18.559999,18.559999,111100
8/29/16,18.549999,18.67,18.08,18.389999,18.389999,193000
9/5/16,18.309999,18.889999,18.27,18.82,18.82,48900
9/12/16,18.76,18.950001,18.24,18.65,18.65,160800
9/19/16,18.879999,19.129999,18.469999,18.51,18.51,97900
9/26/16,18.48,18.58,18.200001,18.48,18.48,105300
10/3/16,18.49,18.92,18.4,18.58,18.58,71000
10/10/16,18.57,18.950001,18.309999,18.77,18.77,98900
10/17/16,18.93,19.219999,18.83,19.120001,19.120001,125100
10/24/16,19.280001,19.77,19.120001,19.41,19.41,83600
10/31/16,19.43,19.52,18.940001,19.040001,19.040001,62000
11/7/16,19.139999,19.57,18.860001,19.059999,19.059999,146500
11/14/16,18.860001,19.209999,18.860001,19.16,19.16,47000
11/21/16,19.360001,19.91,19.360001,19.91,19.91,89100
11/28/16,20.110001,20.24,19.6,19.719999,19.719999,129000
12/5/16,19.9,20.200001,19.65,19.91,19.91,64000
12/12/16,19.870001,19.879999,19.559999,19.809999,19.809999,30500
12/19/16,19.59,19.67,18.969999,18.969999,18.969999,78300
12/26/16,19.27,19.370001,19.08,19.1,19.1,27200
1/2/17,19.09,19.25,18.9,18.940001,18.940001,141100
1/9/17,18.98,19.889999,18.91,19.780001,19.780001,155100
1/16/17,20.120001,20.26,19.98,20.07,20.07,205100
1/23/17,20.01,20.08,19.799999,19.85,19.85,33700
1/30/17,19.68,19.68,19.35,19.5,19.5,60700
2/6/17,19.639999,20.08,19.6,20.01,20.01,93400
2/13/17,19.91,20.059999,19.559999,19.629999,19.629999,74600
2/20/17,19.5,19.629999,19.209999,19.24,19.24,54400
2/27/17,19.370001,19.809999,19.16,19.5,19.5,101200
3/6/17,19.530001,19.66,18.93,19,19,130100
3/13/17,18.959999,19.040001,18.76,18.93,18.93,167200
3/20/17,18.93,19.049999,18.549999,18.559999,18.559999,65900
3/27/17,18.59,18.59,18.07,18.120001,18.120001,127800
4/3/17,18.200001,18.200001,17.99,18.059999,18.059999,73200
4/10/17,18.1,18.309999,17.9,18.309999,18.309999,105300
4/17/17,18.25,18.27,18.01,18.16,18.16,78900
4/24/17,18.309999,18.309999,18,18.07,18.07,75100
5/1/17,18.24,18.459999,18.219999,18.280001,18.280001,124300
5/8/17,18.27,18.52,18.16,18.17,18.17,87900
5/15/17,18.18,18.360001,17.879999,18.02,18.02,89800
5/22/17,18.049999,18.17,17.65,17.65,17.65,162600
5/29/17,17.67,17.67,17.49,17.66,17.66,92600
6/5/17,17.629999,17.99,17.620001,17.969999,17.969999,133600
6/12/17,17.92,18.059999,17.709999,18.02,18.02,80600
6/19/17,18.1,18.110001,17.27,17.34,17.34,119700
6/26/17,17.379999,18.15,17.35,18.049999,18.049999,138200
7/3/17,18.309999,19.129999,18.309999,19.049999,19.049999,228200
7/10/17,19.41,19.639999,18.629999,18.950001,18.950001,376800
7/17/17,18.940001,19.360001,18.809999,19.280001,19.280001,155000
7/24/17,18.969999,19.200001,18.59,19.030001,19.030001,160900
7/31/17,18.84,18.98,18.120001,18.120001,18.120001,150400
8/7/17,18.219999,18.639999,17.82,17.940001,17.940001,238700
8/14/17,17.75,17.82,17.5,17.77,17.77,88800
8/21/17,17.65,17.969999,17.65,17.9,17.9,105000
8/28/17,17.940001,18.049999,17.700001,18.030001,18.030001,125800
9/4/17,18.17,18.51,18.17,18.26,18.26,48400
9/11/17,18.26,18.49,17.82,18.370001,18.370001,155700
9/18/17,18.370001,18.65,18.200001,18.620001,18.620001,598400
9/25/17,18.5,18.52,18.129999,18.360001,18.360001,153700
10/2/17,18.290001,18.450001,18.08,18.450001,18.450001,24600
10/9/17,18.41,18.9,18,18.870001,18.870001,149300
10/16/17,18.76,18.82,18.49,18.49,18.49,122600
10/23/17,18.469999,18.59,18.389999,18.469999,18.469999,41300
10/30/17,18.41,18.700001,18.41,18.450001,18.450001,42000
11/6/17,18.530001,18.77,18.27,18.459999,18.459999,101000
11/13/17,18.41,18.57,18.129999,18.549999,18.549999,573700
11/20/17,18.5,18.67,18.41,18.549999,18.549999,33000
11/27/17,18.540001,18.68,18.459999,18.6,18.6,49900
12/4/17,18.76,18.93,18.51,18.51,18.51,537200
12/11/17,18.48,18.5,18.139999,18.139999,18.139999,523000
12/18/17,18.1,18.16,17.76,17.82,17.82,88100
12/25/17,17.83,18.049999,17.719999,17.879999,17.879999,71600
1/1/18,18.040001,18.059999,17.809999,18.01,18.01,62200
1/8/18,18,18,17.59,17.83,17.83,97500
1/15/18,18.02,18.24,17.889999,18.139999,18.139999,76900
1/22/18,18.290001,18.549999,18.200001,18.27,18.27,120700
1/29/18,18.43,18.58,18.139999,18.139999,18.139999,120200
2/5/18,18.1,18.42,17.959999,18.18,18.18,72200
2/12/18,18.4,18.879999,18.360001,18.809999,18.809999,106800
2/19/18,18.93,19.040001,18.83,19.01,19.01,146600
2/26/18,19.120001,19.41,18.969999,19.33,19.33,175700
3/5/18,19.35,19.469999,18.85,18.92,18.92,286500
3/12/18,18.879999,19.139999,18.799999,19.01,19.01,236500
3/19/18,18.91,18.91,18.530001,18.74,18.74,145200
3/26/18,18.82,19.110001,18.51,19.049999,19.049999,110200
4/2/18,19.1,19.139999,18.209999,18.84,18.84,125600
4/9/18,19.02,19.200001,18.93,19.059999,19.059999,114300
4/16/18,19.110001,19.110001,18.82,18.879999,18.879999,235800
4/23/18,18.809999,19.02,18.610001,18.950001,18.950001,234600
4/30/18,19,19.08,18.719999,18.799999,18.799999,127000
5/7/18,18.75,18.75,18.299999,18.309999,18.309999,157800
5/14/18,18.440001,18.549999,18.09,18.15,18.15,182400
5/21/18,18.530001,18.950001,18.4,18.870001,18.870001,184600
5/25/18,18.88,18.950001,18.8734,18.879999,18.879999,22498
